1,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-1,-2,-3,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,81,79,79,80,79,81,80,79,79,79,80,80,78,80,79,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,-5,-4,-4,-4,-5,-5,-4,-4,-4,-4,-4,-4,-5,-4,-4,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1,6,42,-5,-4,2,0,-3,-6,-3,-2,-4,2,-1,-4,-4,-1,-3,4,-17,1,-5,-7,2,3,-9,2,-3,-5,5,1,79,80,74,93,74,78,83,71,76,86,77,81,80,78,80,-2,5,-15,26,-6,3,8,-12,-6,16,-5,7,6,-14,-3,4,53,-10,-6,-3,-6,-5,-11,-9,-8,-7,1,-6,-9,-12,-3,3,-1,-3,-4,0,-3,1,-4,-2,2,9,0,-4,5
1,-2,0,-4,-2,-4,-2,1,-8,-1,-3,-3,-6,0,-5,-6,-6,2,-5,-2,4,4,-9,3,0,-6,8,-1,-9,5,-10,85,74,76,78,76,74,87,69,83,83,73,80,87,67,86,14,-7,7,1,-18,-10,13,-13,-2,6,-19,-1,13,-17,16,-5,1,-11,-6,-13,-9,-2,-20,-6,-14,-11,-20,-5,-16,-14,2,0,4,1,-10,-4,-10,-5,-8,-5,-3,6,2,7,-1
1,-2,-5,0,-2,-6,2,-1,1,-3,-1,-5,-4,1,-9,-1,-10,4,1,-6,3,-9,-8,3,-8,-1,4,-14,-7,6,-9,86,73,79,87,73,84,82,78,88,81,74,84,78,75,92,13,-16,-5,5,-16,7,6,-11,5,-4,-17,17,3,-18,11,-7,-18,-10,-12,-21,-6,-8,-2,-13,-10,-21,-17,-7,-28,-15,-5,-2,-4,-1,-5,-9,0,-5,-3,-13,-15,-4,-2,-9,-11
1,0,-2,2,1,1,-5,-1,-6,-5,-1,-3,-4,-2,3,-7,2,4,-9,-3,-1,-6,-6,-2,-10,5,5,-11,5,-3,-13,74,74,85,77,71,83,77,77,90,75,73,89,72,74,88,-12,-16,11,-5,-7,2,-2,-10,7,-23,-19,11,-18,-1,12,-9,-15,-4,-11,-2,-21,-17,-25,-21,-16,-19,-14,-11,-7,-30,-5,-3,-6,-10,-3,-5,-11,-10,-9,-6,-6,-4,-9,-1,-3
1,-2,-1,-1,0,-4,-7,0,3,-3,1,-6,-6,-6,-5,1,3,3,-7,-2,-2,-13,1,-4,-2,-5,0,-9,0,-9,-3,70,78,83,70,75,85,75,80,83,81,77,83,77,84,79,-15,-16,4,-12,-6,9,-14,-2,-10,0,-13,3,-21,5,-5,-18,-17,-14,-12,-15,-26,-9,-10,-25,-12,-31,-26,-27,-22,-16,-5,-4,-10,-7,-5,-4,-5,-10,-5,-8,-7,-5,-10,-10,-6
1,-5,-4,-4,-1,-4,-3,-2,-1,-1,1,-6,-3,-2,-3,-5,4,-2,-7,-2,-8,3,2,-7,-2,-5,-3,-5,0,-8,0,77,80,82,74,84,81,80,82,78,76,82,77,76,79,78,-20,-8,-1,-7,0,-24,-20,-1,-16,0,-13,-5,-19,-4,-18,-22,-20,-22,-15,-24,-26,-22,-18,-21,-10,-28,-20,-20,-23,-25,-6,-3,-9,-7,-4,-13,-9,-3,-9,-8,-9,-9,-14,-11,-9
1,-4,-5,-5,-3,-1,-2,-2,-4,-6,-6,-2,-4,-2,1,-3,-2,3,2,0,-11,-3,-2,3,-7,-2,-9,-5,-4,-9,1,81,77,81,81,76,76,82,76,83,79,79,78,81,74,84,-11,-29,-27,-28,-2,-20,-20,-26,-4,-24,-8,-17,-16,-1,-17,-24,-26,-25,-25,-20,-20,-22,-23,-29,-29,-24,-23,-22,-19,-24,-10,-6,-13,-12,-2,-7,-14,-9,-20,-17,-13,-9,2,-4,-11
1,-3,-1,-4,-5,0,-1,-5,-4,-9,-5,-6,-8,-1,-3,-3,1,-2,-2,-5,-1,2,-6,-13,-2,2,-5,-2,-1,-10,1,84,76,78,83,77,82,80,76,85,83,78,81,84,73,82,-26,-21,-20,-11,-22,-31,-9,6,-17,-27,-15,-20,-20,-7,-24,-22,-20,-27,-28,-21,-18,-29,-26,-33,-25,-27,-33,-18,-19,-24,-11,-17,-12,-11,-18,-11,-14,-11,-13,-10,-11,-10,-5,-8,-1
1,0,0,-2,-3,-4,-9,-8,0,18,-5,-4,2,-4,-1,-3,-4,-9,0,-2,-6,-1,-1,-4,47,-2,-16,1,-2,-6,-1,80,82,82,80,74,87,84,69,80,82,76,81,83,76,83,-22,-9,-25,-26,-14,-23,-15,-17,-85,-17,-1,-25,-22,-14,-26,-22,-22,-22,-23,-25,-31,-28,-18,8,-32,-22,-13,-23,-22,-24,-18,-8,-6,-8,-11,-6,-6,-1,-10,-11,-8,-8,-8,-9,-9
1,2,4,-1,-6,-2,2,-8,0,0,-4,2,-2,-5,-2,-4,-1,0,-6,2,-4,-4,6,-5,-4,7,-9,-8,0,-8,-5,82,84,84,72,80,87,71,87,84,69,84,84,68,86,82,-1,3,6,-6,6,9,-12,8,6,-17,13,12,-2,10,6,-2,4,-4,-11,-5,3,-18,0,-2,-7,-5,-3,-16,-6,-8,6,-7,1,0,4,5,2,1,4,0,-1,2,0,2,-2
1,-5,-3,-1,-4,0,-7,-4,-1,-3,-2,-1,-8,-3,-1,-6,6,-3,-2,6,-5,-3,4,-7,1,-5,-7,8,0,-7,3,67,87,83,71,85,81,73,86,73,81,85,70,78,80,73,-15,7,2,-18,6,2,-12,10,-6,3,8,-23,-6,8,-11,-16,-11,-7,-14,-4,-16,-13,-8,-11,-6,-6,-19,-11,-11,-18,-7,-6,-5,4,4,-3,-10,1,-3,0,-6,-6,-3,-4,2
1,-4,-2,0,-4,-3,-2,-6,-5,1,-3,0,0,-4,2,1,3,-13,0,0,-7,-1,4,-9,-3,-3,-12,11,-1,-9,0,76,91,71,76,89,82,73,86,78,79,90,66,83,83,74,-11,18,-9,-4,3,-9,-11,9,1,-4,19,-29,-7,7,-6,-16,-12,-6,-21,-16,-11,-20,-22,-3,-25,-12,-11,-18,-5,-8,-5,-5,-4,-5,-16,-7,-4,-2,-4,0,-7,-6,-13,-6,3
1,-3,-5,-3,-5,0,-4,-4,-4,-2,-2,-1,0,-1,-6,-6,0,-11,9,-1,-8,4,-11,-4,2,-10,-8,7,-11,-4,8,75,84,67,79,83,74,89,79,75,86,76,68,88,76,76,-7,11,-27,-5,5,-18,14,-1,-15,11,2,-20,11,-5,-25,-19,-21,-18,-20,-7,-21,-20,-20,-14,-13,-14,-12,-15,-23,-21,-4,-12,-8,-4,-7,-11,-5,-5,-2,1,-6,-5,-10,-4,-6
1,-8,-1,2,-2,0,-3,-2,-6,-6,-4,-2,-2,1,-2,-3,-6,1,-11,-5,-1,-2,-14,4,3,-5,-2,-2,-13,-1,2,85,75,80,80,77,78,78,75,80,81,77,76,81,80,80,-6,-18,9,-12,-12,-9,8,-30,-18,-6,-15,-10,12,-14,-22,-31,-15,-12,-21,-16,-20,-20,-29,-25,-23,-20,-20,-13,-21,-23,-13,-9,-17,-19,-8,-10,-5,-10,-11,-11,-5,-11,-13,-7,2
1,-2,-4,-4,-5,-6,-6,-2,2,-1,-1,-5,-7,-5,-3,-1,-3,4,-9,-2,-5,0,2,-4,-1,-7,3,0,-11,-2,-8,82,77,78,79,78,81,78,82,81,76,78,77,80,81,80,-15,-28,6,-12,-12,-24,-33,-11,-22,-9,-32,-19,1,-19,-1,-21,-24,-20,-26,-27,-29,-22,-14,-21,-20,-25,-26,-27,-25,-17,-6,-14,-8,-11,-12,-5,-9,-11,-12,-12,-16,-4,-16,-10,2
1,-1,-1,-2,-7,-8,-5,-2,-1,0,0,-4,-6,-4,-5,-5,-11,1,-1,0,7,0,-5,0,-10,9,1,-8,0,-1,-6,76,82,78,80,78,77,78,81,78,78,82,81,77,81,81,5,-24,-17,-22,-41,-21,-12,-25,-3,-43,-21,-7,-21,-17,-6,-20,-23,-23,-25,-27,-25,-22,-21,-17,-15,-26,-26,-22,-27,-27,-13,-18,-9,-9,-9,-11,-10,-6,-8,-13,-14,-9,-10,-12,-9
1,-3,-5,-2,-3,-10,2,-3,-4,0,0,-6,0,-2,-5,-1,-2,-1,-3,2,-10,1,1,-5,-5,2,-2,-2,-1,3,-9,79,83,77,76,89,75,79,78,82,78,86,76,80,82,68,-16,-22,-15,-29,0,-32,-27,-14,-20,-29,-18,-18,-20,-33,-2,-20,-24,-20,-23,-40,-12,-20,-26,-16,-16,-33,-20,-21,-26,-22,-5,-13,-15,-15,-8,-5,-4,-10,-7,-5,-8,-12,-10,-13,-4
5,184,132,97,81,36,-31,-46,-41,-41,-32,-11,5,10,11,9,-9,-3,6,18,17,-13,-10,4,-16,-11,7,-6,3,-1,-2,91,108,118,104,91,94,81,63,71,73,75,76,82,88,82,-34,18,-29,-44,-43,10,-3,-30,20,1,-38,-3,-24,-17,-17,280,195,132,110,46,-60,-85,-78,-79,-68,-39,-9,1,-1,-3,0,-5,-2,-7,-13,-11,-8,-14,-3,-17,-5,-14,-9,-14,-6
5,90,49,15,26,18,3,-6,-6,-12,-7,1,1,-4,3,-6,11,26,14,12,18,-2,-8,-3,-8,-9,-2,0,-1,-3,4,361,99,83,98,78,85,84,76,79,81,76,79,86,80,83,-423,23,-46,-19,-39,-9,6,-7,3,0,-2,-9,-13,-3,-24,756,21,18,34,15,-8,-21,-20,-32,-23,-1,-14,-25,-4,-27,-122,52,-6,-3,-9,-13,-10,-3,-7,-8,-5,-4,-5,-2,-9
5,141,59,15,9,8,-9,-11,-10,-5,-5,-1,2,-3,-6,-7,-130,-45,10,17,7,-3,-8,-10,-8,6,1,-13,-2,1,-8,85,68,95,84,85,90,78,81,82,79,78,88,78,80,86,283,70,-18,-36,-23,0,2,0,2,-20,-15,10,-7,-12,4,234,93,17,1,-2,-25,-30,-31,-16,-16,-16,-10,-20,-23,-24,29,-9,4,6,-1,1,-4,-3,-8,-6,-21,-4,-2,0,-12
5,-69,-19,-3,14,4,0,-7,-11,-6,-3,0,-4,-4,-5,-3,122,51,40,24,-10,-15,-13,-15,6,10,-13,3,-2,-12,-5,31,93,99,83,91,78,77,86,73,75,94,74,81,89,76,-195,-87,-72,-37,8,17,11,18,-15,-24,20,-17,-3,11,-4,-62,-42,-18,16,-5,-6,-22,-28,-15,-19,-8,-18,-22,-16,-16,25,-20,1,-4,-13,4,-6,0,-2,-7,-7,-7,-9,-5,-12
5,-20,21,20,17,17,4,-10,-15,-10,-8,-7,-4,2,-5,-4,20,-24,-26,-2,7,-2,-13,-3,4,-8,-4,-6,-3,-1,-1,77,67,89,87,88,87,84,83,78,81,80,84,80,81,81,-14,34,28,-19,-27,-23,3,-12,-30,-11,-15,-15,-22,-22,-17,0,25,11,11,11,-9,-32,-41,-31,-30,-25,-23,-12,-23,-22,-22,-11,-12,-12,-13,-13,-7,-13,-8,-9,-7,-6,-5,-5,-6
5,15,17,17,8,1,-5,-11,-10,-9,-7,-3,0,-2,-2,-3,-48,-39,-14,6,6,-2,-1,-1,0,-3,-8,-10,-2,-3,0,52,77,84,87,86,85,82,82,80,80,81,83,82,82,82,112,57,9,-22,-33,-18,-20,-20,-19,-15,-4,-1,-23,-22,-25,9,22,9,-1,-17,-26,-33,-34,-31,-28,-21,-16,-22,-21,-21,6,-18,-5,-5,-10,-9,-13,-15,-17,-13,-12,-8,-12,-15,-11
5,1,9,-7,-9,-11,-15,-8,1,-1,-1,-2,-6,-6,-4,-2,18,-20,5,6,-2,-17,6,-8,13,-18,1,-5,-2,-7,-4,82,87,81,82,80,81,78,77,84,83,81,82,81,81,81,-51,11,-19,-24,-16,13,-32,-1,-55,17,-24,-12,-22,-8,-12,-14,14,-16,-27,-39,-38,-27,-15,-19,-17,-21,-24,-26,-22,-21,-14,24,-7,-19,-15,-4,-11,-8,-12,-12,-4,-14,-12,-10,-11
5,18,-1,-5,-1,-7,1,-5,-7,-4,-7,-5,-4,-1,-2,-5,46,0,-16,1,-5,-1,-3,-2,-4,-5,-4,-4,-18,1,-4,84,82,81,84,85,77,83,86,81,86,84,82,83,81,84,-88,-23,-4,-25,-20,-20,-19,-24,-18,-16,-18,-18,17,-24,-18,9,-23,-23,-16,-25,-11,-25,-26,-22,-29,-22,-21,-17,-21,-22,-14,-11,-9,-10,-10,-8,-10,-14,-9,-9,-9,-9,-12,-4,-9
4,-37,-40,-10,4,1,-2,2,-6,5,-1,-2,-5,-6,-5,-4,-10,-1,-6,0,-3,-3,4,-13,1,-5,-10,4,-5,-7,-3,59,73,73,78,91,89,77,97,76,83,90,80,84,86,80,19,-13,-3,-5,-5,-7,-19,17,-11,-2,5,-24,0,3,-9,-11,-81,-25,-4,-12,-12,-11,-21,-1,-19,-16,-20,-21,-22,-16,-9,-13,-6,-6,-12,-9,-9,-4,-1,-7,-9,-11,-6,-4,-3
5,-3,-4,-2,-5,-6,-5,-1,-6,-13,-15,-7,-3,1,1,-6,-10,-2,7,-11,23,34,-9,-15,-21,-19,3,8,-10,3,1,90,81,73,89,89,74,102,74,78,86,79,82,93,80,82,5,-4,-19,10,-58,-123,-5,10,25,18,-17,-21,13,-17,-11,-16,-21,-10,-18,-46,-39,-20,-21,-28,-39,-26,-21,-4,-5,-21,-9,-4,-2,-7,-10,-29,-13,-10,-3,-10,-4,-1,-3,-6,-4
4,46,19,27,-10,7,-16,-16,-5,-4,1,-5,-10,-4,-3,0,29,18,23,-9,1,-17,-13,5,-7,4,-6,-5,-7,-3,-15,59,96,93,84,93,84,86,71,87,81,89,82,84,80,86,-98,-42,-42,-1,-8,14,8,-25,0,-19,-3,-2,-2,-7,13,125,10,31,-29,-3,-35,-39,-21,-18,-11,-24,-22,-16,-13,-11,-16,-6,-9,-12,-7,-13,-8,-9,-1,-6,-9,-8,-8,-1,-1
5,62,64,68,64,64,37,2,-23,-29,-30,-25,-9,1,1,2,-136,-83,-36,-2,11,13,-2,-10,-2,3,-12,-7,1,-5,-1,10,84,81,103,100,92,96,85,79,79,79,79,81,83,84,421,54,43,-7,-35,-39,-19,-6,-16,-35,3,-9,-30,-8,-18,459,44,96,84,86,47,-11,-48,-58,-65,-54,-30,-15,-14,-15,90,3,-8,-11,-5,-8,-15,-11,-12,-10,-3,-8,-13,-11,-19
4,62,68,64,64,64,37,-23,2,-29,-30,-9,-25,1,2,1,-136,-36,-83,-2,11,13,-10,-2,-2,3,-7,-12,1,-1,-5,10,81,84,103,100,92,85,96,79,79,79,79,81,84,83,421,43,54,-7,-35,-39,-6,-19,-16,-35,-9,3,-30,-18,-8,459,96,44,84,86,47,-48,-11,-58,-65,-30,-54,-15,-15,-14,90,-8,3,-11,-5,-8,-11,-15,-12,-10,-8,-3,-13,-19,-11
4,-45,-90,-35,-10,23,8,-5,-7,-9,-4,-2,-3,-7,-7,0,-23,-20,-20,-18,25,11,-22,-2,-5,0,-1,-7,-7,3,-2,113,53,57,73,75,78,68,53,71,71,69,68,67,66,68,57,-7,34,18,-38,-21,25,-7,1,-8,-7,1,4,-18,-4,-97,-206,-65,-23,15,-7,-16,-21,-29,-21,-18,-22,-21,-27,-14,-45,49,6,-3,-5,-8,-11,-8,-11,-7,-6,-12,-3,-5,-8
4,-6,3,4,7,-8,-20,-13,-6,-7,-2,3,-2,3,-7,-2,3,3,-15,-7,-1,-2,8,-9,-13,10,-7,10,-7,-13,10,85,97,85,82,87,86,80,81,84,86,81,86,81,84,86,-28,-21,-2,-6,-15,-13,-43,-3,8,-46,-2,-46,-2,8,-46,-27,-9,-11,-2,-26,-46,-35,-24,-26,-19,-8,-19,-8,-26,-19,-10,-6,-11,-9,-7,-12,-15,-8,-9,-7,-2,-7,-2,-9,-7
4,-6,-6,12,-3,22,7,-8,-20,3,4,-13,-6,-7,-2,3,3,-5,12,-14,33,-7,-1,-2,3,-15,8,-9,-13,10,-7,85,82,85,82,73,82,87,86,97,85,80,81,84,86,81,-28,-9,-109,12,-108,-6,-15,-13,-21,-2,-43,-3,8,-46,-2,-27,-24,-56,-15,11,-2,-26,-46,-9,-11,-35,-24,-26,-19,-8,-10,-10,6,-9,-9,-9,-7,-12,-6,-11,-15,-8,-9,-7,-2
4,-1,-46,-41,-21,5,17,16,9,-4,-2,-8,-11,-8,-5,-6,-13,-3,4,-8,-1,5,5,-5,3,-13,-7,-5,-2,4,-7,89,83,74,78,82,85,91,89,84,85,82,85,84,83,85,13,-28,-19,2,-10,-22,-22,-7,-26,19,-3,-11,-13,-17,-6,-13,-129,-81,-49,-8,9,10,-2,-22,-18,-29,-38,-33,-17,-29,-8,1,-6,-6,-10,-9,-6,-9,-19,0,-11,-17,-10,-11,-10
4,180,144,100,83,21,-8,-6,-19,-27,-15,-4,2,-6,1,1,69,41,35,68,19,-24,-20,-22,-12,-5,-2,-3,8,-9,0,52,97,132,94,107,105,77,78,79,78,87,84,84,92,81,215,-55,-67,-113,-34,24,21,23,6,-11,-6,-12,-35,1,-18,186,183,136,130,27,-28,-21,-40,-51,-35,-19,-10,-26,-14,-12,13,-30,-8,-9,-5,-11,-6,-5,-7,-9,-6,-11,-8,-10,-14
4,79,56,62,2,-71,-38,23,11,5,-5,-12,-10,0,-1,-4,168,36,-52,16,-24,-23,8,1,2,-6,-18,2,4,-9,-1,12,108,100,59,66,55,66,84,73,64,69,69,73,76,66,-297,-66,50,-28,21,17,-18,-7,-13,-5,18,-17,-16,0,-14,-129,46,62,-11,-108,-64,19,-1,-8,-23,-30,-32,-19,-20,-24,-97,-9,-11,-10,-12,-8,-6,-11,-11,-16,-8,-14,-10,-20,-7
4,-4,-23,-35,-12,-5,4,14,9,5,0,-2,6,-3,1,1,-8,-11,-12,-5,4,12,-6,-1,-1,-9,1,-5,-3,5,0,88,68,74,75,80,81,93,82,86,87,82,81,90,79,84,16,-39,14,10,-4,-26,12,-3,0,17,-5,9,0,-8,-3,-4,-74,-19,-12,-4,7,30,21,15,4,-3,16,-5,7,7,-10,-49,-5,0,6,-5,0,1,-10,-2,-3,-4,-5,1,4
4,12,16,7,14,6,4,-2,-121,-13,44,15,-17,-4,9,-5,8,16,34,14,16,-3,-16,143,-4,-61,-5,19,-10,-4,3,94,70,95,107,87,86,88,57,69,52,61,64,74,62,70,-9,-18,-59,-19,-29,9,27,-237,23,88,10,-24,23,9,0,35,53,27,35,14,16,-4,-126,-39,57,25,-21,-4,13,-7,-1,16,2,7,3,2,5,-119,20,-7,1,-2,-5,-1,2
5,-12,-17,-19,-31,-8,9,3,3,7,0,-4,0,0,-1,3,-20,-10,-2,-10,-18,3,0,-7,0,-5,-8,5,-3,-7,5,109,82,78,79,77,76,81,83,80,78,85,73,83,85,77,27,14,2,13,32,-4,-1,16,1,8,12,-11,4,14,-12,-44,-32,-32,-53,-10,16,10,6,14,-2,-10,0,1,0,3,-14,0,-4,-7,-4,6,6,-8,-1,1,3,0,-6,2,-2
4,-12,-17,-19,-31,-8,9,3,3,7,0,-4,0,0,-1,3,-20,-10,-2,-10,-18,3,0,-7,0,-5,-8,5,-3,-7,5,109,82,78,79,77,76,81,83,80,78,85,73,83,85,77,27,14,2,13,32,-4,-1,16,1,8,12,-11,4,14,-12,-44,-32,-32,-53,-10,16,10,6,14,-2,-10,0,1,0,3,-14,0,-4,-7,-4,6,6,-8,-1,1,3,0,-6,2,-2
4,-130,-77,-45,-29,-15,11,29,16,14,18,3,-4,-1,-8,-10,-15,4,12,2,2,-9,-14,-6,5,-8,-3,4,3,2,1,62,52,59,68,81,82,81,87,90,79,85,85,80,87,80,18,-13,-36,-11,-16,3,12,5,-25,3,-9,-15,-13,-7,-7,-286,-111,-74,-47,-31,9,41,30,22,33,1,-8,-2,-16,-24,52,-7,-6,-6,-11,-6,2,10,-7,-1,-2,-2,0,0,-4
1,-3,-2,-3,-2,-2,-2,-2,-2,0,3,0,-2,-4,-2,-3,2,2,2,2,2,2,2,2,1,0,2,3,3,2,3,22,19,23,22,20,23,20,22,23,28,18,20,22,6,24,5,5,5,5,5,5,5,4,8,6,7,2,4,5,4,-8,-7,-7,-6,-6,-7,-7,-7,-4,1,-5,-7,-11,-8,-8,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1
1,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-3,-2,-2,-3,2,2,2,2,2,2,2,2,2,0,1,2,1,2,1,20,19,20,20,22,22,22,22,24,22,31,23,29,41,3,5,5,5,5,4,4,5,5,2,4,2,4,7,4,5,-6,-7,-6,-6,-7,-7,-6,-5,-6,-3,-6,-8,-5,-5,-6,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-2,-2,-2,0
1,-2,-3,-2,-2,-2,-3,-2,-2,-3,-4,-6,-3,-4,-4,-2,2,1,2,2,1,1,2,2,1,2,3,0,0,0,1,20,18,20,20,20,20,20,20,9,11,23,18,17,32,30,5,4,5,5,5,5,3,5,7,3,-2,7,4,4,5,-6,-6,-6,-6,-6,-6,-6,-6,-8,-7,-11,-10,-9,-10,-5,-1,0,-1,-1,0,-1,-1,-1,0,-1,0,0,-1,-1,-1
